Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2012-006294;Sleedoornweg;36;;;9674JG;WINSCHOTEN;"Sleedoornweg 36, 9674JG WINSCHOTEN";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-04-16;Zelfstandig;471,99;471,99;;;;;;;;;373,75;;Huurder
ZKN-2012-005834;Naardermeer;211;;;3068KH;ROTTERDAM;"Naardermeer 211, 3068KH ROTTERDAM";;"4.3 UHW - melding herstel van gebreken";"Gebreken geheel verholpen";"De verzoeker wordt in het gelijk gesteld";30-05-16;Zelfstandig;447,97;447,97;;;;;;;;;;;Verhuurder
ZKN-2012-006273;Abcovenseweg;57;;;5022KG;TILBURG;"Abcovenseweg 57, 5022KG TILBURG";;"258 BW - uitsplitsing all in/incl. huur";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";01-06-16;Onzelfstandig;;313,06;;;;;;;;;;;Huurder
ZKN-2014-002752;"Jan de Verwerstraat";3;;;5911BJ;VENLO;"Jan de Verwerstraat 3, 5911BJ VENLO";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";11-02-16;Zelfstandig;533,75;;;;;;;;;;414,61;;Huurder
ZKN-2015-009917;"Van Rensselaerstraat";8;;3;1058XS;AMSTERDAM;"Van Rensselaerstraat 8 3, 1058XS AMSTERDAM";;"20.7 UHW - behandeling na gegrond verzet";"De huurprijs is redelijk";;28-01-16;Zelfstandig;464,29;487,5;;;;;;;;;;;Verhuurder
ZKN-2015-008911;"Verlengde Oosterweg";24;;"1B KM 2 ET AT";9725BD;GRONINGEN;"Verlengde Oosterweg 24 1B KM 2 ET AT, 9725BD GRONINGEN";;"254 BW - voorstel huurprijsverlaging";Intrekking;"De wederpartij wordt in het gelijk gesteld";29-01-16;Onzelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-008879;"Verlengde Oosterweg";24;;"1B KM 1 ET";9725BD;GRONINGEN;"Verlengde Oosterweg 24 1B KM 1 ET, 9725BD GRONINGEN";;"254 BW - voorstel huurprijsverlaging";Intrekking;"De wederpartij wordt in het gelijk gesteld";29-01-16;Onzelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-008723;Peppelstraat;25;;;7204DK;ZUTPHEN;"Peppelstraat 25, 7204DK ZUTPHEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;530,04;530,04;;;;;;;;;;;Huurder
ZKN-2015-008707;"Koning Lodewijklaan";6;;X;7314GE;APELDOORN;"Koning Lodewijklaan 6 X, 7314GE APELDOORN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";21-01-16;Zelfstandig;688;597,64;;;;;;;;;;;Huurder
ZKN-2015-008626;"Jozef Israelsstraat";95;;"KM 1";9718GH;GRONINGEN;"Jozef Israelsstraat 95 KM 1, 9718GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";29-01-16;Onzelfstandig;;;;;770;310,7;;;;;;;Huurder
ZKN-2015-008613;"Koning Lodewijklaan";6;;G;7314GE;APELDOORN;"Koning Lodewijklaan 6 G, 7314GE APELDOORN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";21-01-16;Zelfstandig;688;656,42;;;;;;;;;;;Huurder
ZKN-2015-008533;"Eerste Moordrechtse Tiendeweg";12;;;2802AB;GOUDA;"Eerste Moordrechtse Tiendeweg 12, 2802AB GOUDA";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;253,09;216,83;;;;;;;;;;;Huurder
ZKN-2015-008488;Abeelstraat;99;;"KM 3";9741EE;GRONINGEN;"Abeelstraat 99 KM 3, 9741EE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";07-01-16;Onzelfstandig;;;;;0;540,53;;;;;;;Huurder
ZKN-2015-008487;Abeelstraat;99;;"KM 3";9741EE;GRONINGEN;"Abeelstraat 99 KM 3, 9741EE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";15-01-16;Onzelfstandig;;;;;0;393,21;;;;;;;Huurder
ZKN-2015-008470;Abeelstraat;99;;"KM 1";9741EE;GRONINGEN;"Abeelstraat 99 KM 1, 9741EE GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";07-01-16;Onzelfstandig;;;;;0;211,78;;;;;;;Huurder
ZKN-2015-008437;Thorbeckestraat;5;;;6136DC;SITTARD;"Thorbeckestraat 5, 6136DC SITTARD";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";29-01-16;Zelfstandig;300;300;;;;;;;;;;;Huurder
ZKN-2015-008352;Talingweg;107;;;7331GL;APELDOORN;"Talingweg 107, 7331GL APELDOORN";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";25-01-16;Zelfstandig;263,15;263,15;;;;;;;;;;;Huurder
ZKN-2015-008347;Wattstraat;10;;B;2561XM;'S-GRAVENHAGE;"Wattstraat 10 B, 2561XM 'S-GRAVENHAGE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";28-01-16;Zelfstandig;616,89;400;;;;;;;;;;;Huurder
ZKN-2015-008342;Muldersdreef;541;;;7328EN;APELDOORN;"Muldersdreef 541, 7328EN APELDOORN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";21-01-16;Zelfstandig;658,1;658,1;;;;;;;;;;;Huurder
ZKN-2015-008234;"Hendrik de Keyserstraat";18;;;3034CM;ROTTERDAM;"Hendrik de Keyserstraat 18, 3034CM ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";15-01-16;Zelfstandig;382,62;382,62;;;;;;;;;;;Huurder
ZKN-2015-008221;"Kasteel Montfortstraat";11;;B;6222TM;MAASTRICHT;"Kasteel Montfortstraat 11 B, 6222TM MAASTRICHT";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";29-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-008185;"M. Vaumontlaan";32;;;2101ED;HEEMSTEDE;"M. Vaumontlaan 32, 2101ED HEEMSTEDE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";27-01-16;Zelfstandig;600;544,23;;;;;;;;;;;Huurder
ZKN-2015-008172;"Christiaan Quixstraat";1;;C;6431GW;HOENSBROEK;"Christiaan Quixstraat 1 C, 6431GW HOENSBROEK";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";29-01-16;Zelfstandig;575;;;;;;;;;;230;;Huurder
ZKN-2015-008155;Pahudstraat;145;;;2593TD;'S-GRAVENHAGE;"Pahudstraat 145, 2593TD 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";29-01-16;Zelfstandig;402,12;402,12;;;;;;;;;;;Huurder
ZKN-2015-008122;Oosterstraat;105;;B;3112SG;SCHIEDAM;"Oosterstraat 105 B, 3112SG SCHIEDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";19-01-16;Zelfstandig;;;;;300;8,68;;;;;;;Huurder
