Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2012-006431;Beethovenrode;1;;;2717AP;ZOETERMEER;"Beethovenrode 1, 2717AP ZOETERMEER";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-12-15;Zelfstandig;;;;;77,35;65;;;;;;;Huurder
ZKN-2012-006167;Huygensstraat;33;;;3314ZC;DORDRECHT;"Huygensstraat 33, 3314ZC DORDRECHT";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";02-11-15;Zelfstandig;650;650;;;;;;;;;259,51;;Huurder
ZKN-2015-000753;Koestraat;25;;;4331KX;MIDDELBURG;"Koestraat 25, 4331KX MIDDELBURG";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";13-03-15;Zelfstandig;661,34;;;;;;;;;;264,54;;Huurder
ZKN-2015-000102;"St. Annastraat";224;;BG;6525GX;NIJMEGEN;"St. Annastraat 224 BG, 6525GX NIJMEGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";30-03-15;Onzelfstandig;750;488,57;;;;;;;;;;;Huurder
ZKN-2015-000042;Klipspringerdreef;51;;;3564AH;UTRECHT;"Klipspringerdreef 51, 3564AH UTRECHT";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;481,92;;;;;;;;;;192,77;;Huurder
ZKN-2014-014000;Bogaardslaan;190;;;7339AR;UGCHELEN;"Bogaardslaan 190, 7339AR UGCHELEN";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";13-03-15;Zelfstandig;503,35;503,35;;;;;;;;;201,34;;Huurder
ZKN-2014-013934;"Van Beethovenplein";39;;;3122VC;SCHIEDAM;"Van Beethovenplein 39, 3122VC SCHIEDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";19-03-15;Zelfstandig;;;;;1.489,18;1.489,18;;;;;;;Huurder
ZKN-2014-013896;"Korte Koningsstraat";13;;3;1011EX;AMSTERDAM;"Korte Koningsstraat 13 3, 1011EX AMSTERDAM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";13-03-15;Zelfstandig;538,84;522,98;;;;;;;;;;;Huurder
ZKN-2014-013753;"St. Annastraat";224;;;6525GX;NIJMEGEN;"St. Annastraat 224, 6525GX NIJMEGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";30-03-15;Onzelfstandig;700;479,19;;;;;;;;;;;Huurder
ZKN-2014-013673;"Kamerlingh Onnesstraat";17;;"KM 2 RTS";9727HE;GRONINGEN;"Kamerlingh Onnesstraat 17 KM 2 RTS, 9727HE GRONINGEN";;"20.7 UHW - behandeling na gegrond verzet";"De huurprijs is niet redelijk";;13-03-15;Onzelfstandig;197,14;113,96;;;;;;;;;;;Huurder
