Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2015-003903;Donkerelaan;155;;;2061JW;BLOEMENDAAL;"Donkerelaan 155, 2061JW BLOEMENDAAL";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";17-02-17;Zelfstandig;614,61;614,61;;;;;;;;;;;Huurder
ZKN-2015-004804;Octant;303;;;3328SV;DORDRECHT;"Octant 303, 3328SV DORDRECHT";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";09-02-17;Zelfstandig;446,28;178,51;;;;;;;;;178,51;;Huurder
ZKN-2015-004845;Octant;300;;;3328SV;DORDRECHT;"Octant 300, 3328SV DORDRECHT";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";09-02-17;Zelfstandig;543,27;217,31;;;;;;;;;217,31;;Huurder
ZKN-2015-006447;Donkerelaan;155;;;2061JW;BLOEMENDAAL;"Donkerelaan 155, 2061JW BLOEMENDAAL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-02-17;Zelfstandig;;;;;1.162,43;1.162,43;;;;;;;Huurder
ZKN-2015-008844;"de Savornin Lohmanlaan";39;;;2641WP;PIJNACKER;"de Savornin Lohmanlaan 39, 2641WP PIJNACKER";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";15-02-17;Zelfstandig;;;;;1.462,66;1.249,57;;;;;;;Huurder
ZKN-2015-009283;"De Ruijterstraat";44;;B;2518AT;'S-GRAVENHAGE;"De Ruijterstraat 44 B, 2518AT 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;1.552,56;1.552,56;;;;;;;Huurder
ZKN-2015-010070;"Derde Egelantiersdwarsstraat";7;;3;1015SE;AMSTERDAM;"Derde Egelantiersdwarsstraat 7 3, 1015SE AMSTERDAM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";08-02-17;Zelfstandig;1.200,00;533,7;;;;;;;;;;;Huurder
ZKN-2016-000078;Rijnstraat;63;;"A KM 1";3441BR;WOERDEN;"Rijnstraat 63 A KM 1, 3441BR WOERDEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";09-02-17;Onzelfstandig;;;;;1.039,42;335,68;;;;;;;Huurder
ZKN-2016-000486;Wattstraat;56;;"KM 6 ZOLDER";5621AK;EINDHOVEN;"Wattstraat 56 KM 6 ZOLDER, 5621AK EINDHOVEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";08-02-17;Onzelfstandig;;;;;0;523,92;;;;;;;Huurder
ZKN-2016-000620;Linie;54;;;2652HB;"BERKEL EN RODENRIJS";"Linie 54, 2652HB BERKEL EN RODENRIJS";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;686,22;614,4;;;;;;;Huurder
